Time,Temperature,Change in Length
735.4550781,950.008667,124.0042954
736.3549194,950.1410523,124.009758
737.2543945,950.060669,124.009758
738.1546021,950.0023804,124.009758
739.0557861,950.2094727,124.0152206
739.9552612,950.0512695,124.0015411
740.8544312,950.0512695,124.0152359
741.7555542,949.9572754,124.007019
742.6553955,950.0481567,123.9960709
743.5552368,950.3670044,124.0371246
744.4591675,950.0054321,124.0179672
745.3543701,949.989624,124.0124893
746.2556763,950.0574341,123.9714356
747.1550903,949.8640747,124.0015411
748.0542603,949.9156494,123.9495392
748.9545898,950.0574341,123.9468002
749.855835,950.1640015,124.0124893
750.7544556,949.9961548,124.0289154
751.6556397,950.0118408,123.9988098
752.5551148,950.0640259,124.0289154
753.4546509,950.0118408,123.9495544
754.3547974,949.8601074,123.9358521
755.2542114,950.0118408,123.9878616
756.1553955,950.2545166,123.9468002
757.0548096,949.8640747,123.9249039
757.954895,949.9156494,123.9851227
758.8549194,950.1156616,123.9851227
759.7542114,949.8153687,123.9796448
760.6642456,950.0282593,123.9605026
761.5557251,949.9251709,123.9605026
762.4543457,949.973877,123.9358521
763.3556519,949.9156494,123.9358521
764.2557373,950.2120361,123.9030151
765.1542358,949.8153687,123.9632263
766.055481,949.7764893,123.9358521
766.9552612,950.0701904,123.9112244
767.8542481,950.1218262,123.9769135
768.755249,949.94104,123.9276581
769.6550293,949.8287964,123.9084854
770.5554199,949.9801025,123.9769135
771.4541626,949.7316284,123.9167099
772.3549805,949.8349609,123.9084854
773.2545776,949.8796997,123.916687
774.1549072,949.9283447,123.9057465
775.0552979,950.0282593,123.9686966
775.9554443,950.0346069,123.9550171
776.855896,949.7507324,123.9577484
777.7543945,949.9833374,123.94133
778.6541138,950.0380859,123.9604797
779.5547485,949.9928589,123.916687
780.4544067,949.7896729,123.9112244
781.355896,949.9864502,123.9440689
782.2554321,950.0346069,123.9714508
783.1549072,949.9801025,123.9385834
784.055603,950.0410767,123.9632263
784.954834,949.9345093,123.9522781
785.8546143,950.0252075,123.9194336
786.7542114,950.1448975,123.9714356
787.6555176,950.0997315,123.9166946
788.5554199,950.0443115,123.9194336
789.4542236,949.8540039,123.9194336
790.355835,950.0346069,123.8975372
791.2546997,949.9479981,123.9604874
792.1555176,949.989563,123.9440689
793.0556641,949.899231,123.9166946
793.9544067,950.1960449,123.8975372
794.8548584,950.0443115,123.9084854
795.7542114,950.0023193,123.9249039
796.6546631,950.1507568,123.9084854
797.5556641,949.94104,123.9139633
798.4557495,950.0574341,123.9112244
799.3554688,950.0931397,123.8592224
800.2553711,949.8673096,123.9139633
801.1546021,949.9251099,123.8947907
802.055603,950.0092773,123.9112244
802.954773,949.9573364,123.94133
803.8549805,949.7703247,123.9303818
804.7547607,950.0672607,123.9030151
805.6554565,950.0092773,123.9139633
806.5545654,950.128418,123.9112244
807.4550171,950.1671753,123.8619537
808.3544312,950.1507568,123.8701706
809.2554932,950.0092773,123.8783798
810.1555176,949.9221191,123.8236389
811.0542603,950.0125732,123.8345871
811.9546509,950.2640381,123.8646927
812.8544922,949.8702393,123.7962647
813.7557373,950.309082,123.8592224
814.6551514,949.7703247,123.8263779
815.5547485,950.1799316,123.8509979
816.4549561,949.9636841,123.8400497
817.3547974,949.9833374,123.861969
